accommodationId,coordinates.latitude,coordinates.longitude,details.name,details.stars,details.address.first,details.address.last,title
2548657,44.49420547485352,11.363910675048828,Hotel Sant'orsola City House,2,"Via Palmieri 25, San Donato - San Vitale,","40138 Bologna, BO, Italia",hotel 2*
53648422,44.50469207763672,11.338848114013672,Hotel Marconi Express,3,"Via Cesare Boldrini 24, Porto - Saragozza,","40121 Bologna, BO, Italia",hotel 3*
18746960,44.5126953125,11.35405445098877,Savhotel,4,"Via F. Parri 9, Navile,","40128 Bologna, BO, Italia",hotel 4*
1365408,44.493526458740234,11.345147132873535,Albergo Delle Drapperie,3,"Via delle Drapperie 5, Santo Stefano,","40124 Bologna, BO, Italia",hotel 3*
15499258,44.50276184082031,11.3425874710083,Royal Hotel Carlton,4,"Via Montebello, 8, Porto - Saragozza,","40121 Bologna, BO, Italia",hotel 4*
1033042,44.501930236816406,11.344736099243164,I Portici Hotel Bologna,4,"Via dell'Indipendenza, 69, Porto - Saragozza,","40121 Bologna, BO, Italia",hotel 4*
16797307,44.513790130615234,11.373335838317873,The Sydney Hotel,4,"Via Michelino 73, San Donato - San Vitale,","40127 Bologna, BO, Italia",hotel 4*
15508944,44.52037811279297,11.266851425170898,Hotel Del Borgo,3,"Via Marco Emilio Lepido 195, Borgo Panigale - Reno,","40132 Bologna, BO, Italia",hotel 3*
18745703,44.51699447631836,11.401726722717283,Hotel Cosmopolitan Bologna,4,"Via Del Commercio Associato 9, San Donato - San Vitale,","40127 Bologna, BO, Italia",hotel 4*
15526909,44.514610290527344,11.373952865600586,Michelino 75 By The Sydney Hotel,3,"Via Michelino 75, San Donato - San Vitale,","40127 Bologna, BO, Italia",hotel 3*
15499221,44.50090789794922,11.34424877166748,Hotel Internazionale,4,"Via dell´Indipendenza, 60, Porto - Saragozza,","40100 Bologna, BO, Italia",hotel 4*
18744895,44.501747131347656,11.319881439208984,Suite Hotel Elite,4,"Via Aurelio Saffi 40, Porto - Saragozza,","40131 Bologna, BO, Italia",hotel 4*
15526893,44.505271911621094,11.308523178100586,Hotel Maggiore,3,"Via Emila Ponente 62/3, Borgo Panigale - Reno,","40133 Bologna, BO, Italia",hotel 3*
1785515,44.523921966552734,11.257954597473145,Hotel Bologna Airport,4,"Via M. E. Lepido 203/14, Borgo Panigale - Reno,","40132 Bologna, BO, Italia",hotel 4*
15526912,44.50983428955078,11.384942054748535,Savoia Hotel Regency,4,"Via  del Pilastro  2, San Donato, San Donato - San Vitale,","40127 Bologna, BO, Italia",hotel 4*
16947373,44.49264144897461,11.362878799438477,Boutique Hotel Liberty 1904,3,"Via Giuseppe Massarenti 98, San Donato - San Vitale,","40138 Bologna, BO, Italia",hotel 3*
24415135,44.50764465332031,11.284847259521484,Villa Aretusi,3,"Via Aretusi 5, Borgo Panigale - Reno,","40132 Bologna, BO, Italia",hotel 3*
15595950,44.498687744140625,11.346508979797363,Hotel San Giorgio,3,"Via Alessandrini 1, Santo Stefano,","40123 Bologna, BO, Italia",hotel 3*
89751113,44.4914436340332,11.342700958251951,Frame Bologna,0,"6 Via Farini, Santo Stefano,","40124 Bologna, BO, Italia",hotel
1525592,44.50431442260742,11.3419189453125,Millennhotel,3,"Via Cesare Boldrini 4, Porto - Saragozza,","40128 Bologna, BO, Italia",hotel 3*
15526910,44.50829315185547,11.281485557556152,Cdh My One Hotel Bologna,4,"Viale Palmiro Togliatti 9/2, Borgo Panigale - Reno,","40132 Bologna, BO, Italia",hotel 4*
26556725,44.49819564819336,11.345647811889648,Hotel Holiday- Alla Finestrella,3,"Via Bertiera 13, Santo Stefano,","40126 Bologna, BO, Italia",hotel 3*
86866218,44.497047424316406,11.329402923583984,Hotel Re Enzo,4,"Via Santa Croce 26C, Porto - Saragozza,","40122 Bologna, BO, Italia",hotel 4*
15494871,44.52614212036133,11.41533374786377,Hilton Garden Inn Bologna North,4,"Via San Donato 3/3, San Donato - San Vitale,","40050 Bologna, BO, Italia",hotel 4*
15477040,44.49724578857422,11.3290376663208,Boutique Hotel Re Enzo,4,"VIA DELLA GRADA 8, Porto - Saragozza,","40122 Bologna, BO, Italia",hotel 4*
15505884,44.50977325439453,11.384922981262209,Savoia Hotel Country House Bologna,4,"Via San Donato 159/161, San Donato - San Vitale,","40127 Bologna, BO, Italia",hotel 4*
15545765,44.49958419799805,11.34431266784668,Zanhotel Tre Vecchi,4,"Via Indipendenza 47, Porto - Saragozza,","40121 Bologna, BO, Italia",hotel 4*
95927774,44.50463104248047,11.326080322265623,Bohoostel,2,"23 Via Camillo Casarini, 40131 Bologne, Émilie-Romagne, Italie, Porto - Saragozza,","Bologna, BO, Italy",hotel 2*
15545763,44.48821640014648,11.36206340789795,Hotel Blumen,3,"Via Mazzini 45, Santo Stefano,","40137 Bologna, BO, Italia",hotel 3*
132414,44.49312973022461,11.361186027526855,Hotel Giardinetto Al Sant'orsola,2,"Via Massarenti 76, San Donato - San Vitale,","40138 Bologna, BO, Italia",hotel 2*
1117138,44.49582290649414,11.340490341186523,Hotel Palace Bologna Centro,3,"Via Monte Grappa 9/2, Porto - Saragozza,","40121 Bologna, BO, Italia",hotel 3*
15520278,44.51627731323242,11.400483131408691,"Holiday Inn Bologna - Fiera, An Ihg Hotel",4,"Via Del Commercio Associato 3, San Donato - San Vitale,","40127 Bologna, BO, Italia",hotel 4*
15526899,44.52108383178711,11.343281745910645,Hc3 Hotel,4,"Via Dell' Arcoveggio 46/4, Navile,","40129 Bologna, BO, Italia",hotel 4*
15475038,44.50483703613281,11.339577674865724,Zanhotel Europa,4,"Via Cesare Boldrini 11, Porto - Saragozza,","40121 Bologna, BO, Italia",hotel 4*
15526900,44.50102233886719,11.344417572021484,Hotel Donatello,3,"Via dell'Indipendenza 65, Porto - Saragozza,","40121 Bologna, BO, Italia",hotel 3*
18747295,44.492427825927734,11.341299057006836,Phi Hotel Bologna,4,"Piazza de' Celestini, Porto - Saragozza,","40123 Bologna, BO, Italia",hotel 4*
18745537,44.50080108642578,11.34118366241455,Nuovo Hotel Del Porto,3,"Via Del Porto 6, Porto - Saragozza,","40122 Bologna, BO, Italia",hotel 3*
10799840,44.5126953125,11.358145713806152,Unahotels Bologna Fiera,4,"Piazza della Costituzione 1, Navile,","40128 Bologna, BO, Italia",hotel 4*
16414369,44.49520111083984,11.39227294921875,Unahotels San Vitale Bologna,4,"Via Larga, 4, San Donato - San Vitale,","40138 Bologna, BO, Italia",hotel 4*
24724747,44.493675231933594,11.342334747314451,Hotel Roma,4,"Via Massimo D'Azeglio, 9, Piazza Maggiore, Porto - Saragozza,","40123 Bologna, BO, Italia",hotel 4*
56847251,44.51381301879883,11.341171264648438,Hotel Astor,3,"Via Aristotile Fioravanti, 42/2, Navile,","40129 Bologna, BO, Italia",hotel 3*
10034113,44.49591827392578,11.362298965454102,Hotel Fiera Wellness & Spa,3,"9 Via Sante Vincenzi, San Donato - San Vitale,","40138 Bologna, BO, Italia",hotel 3*
19578417,44.514686584472656,11.353906631469728,Elizabeth Lifestyle Hotel,4,"161 Via Ferrarese, Navile,","40128 Bologna, BO, Italia",hotel 4*
15480923,44.50506210327149,11.343219757080078,Mercure Bologna Centro,4,"Viale Pietramellara 59, Porto - Saragozza,","40121 Bologna, BO, Italia",hotel 4*
17056629,44.48640441894531,11.350736618041992,Il Convento Dei Fiori Di Seta,4,"Via Orfeo 34/4, Santo Stefano,","40124 Bologna, BO, Italia",hotel 4*
16940962,44.490962982177734,11.390993118286133,Best Western Plus Tower Hotel Bologna,4,"Viale Lenin 43, San Donato - San Vitale,","40138 Bologna, BO, Italia",hotel 4*
15659141,44.48678970336914,11.341276168823242,Hotel Porta San Mamolo,4,"Vicolo del Falcone 6/8, Santo Stefano,","40124 Bologna, BO, Italia",hotel 4*
15556084,44.53822326660156,11.362998962402344,Hotel Tuscolano,2,"Via Del Tuscolano 29, Navile,","40128 Bologna, BO, Italia",hotel 2*
1078316,44.49488830566406,11.360032081604004,Aemilia Hotel Bologna,4,"Via Giovanna Zaccherini Alvisi 16, San Donato - San Vitale,","40138 Bologna, BO, Italia",hotel 4*
15500107,44.53303146362305,11.36699104309082,Mitico Hotel & Natural Spa,4,"Via Ferrarese 164, Navile,","40100 Bologna, BO, Italia",hotel 4*
56841160,44.48704147338867,11.34218978881836,B&b Casa Miramonte,0,"Via Miramonte 11, Santo Stefano,","40124 Bologna, BO, Italia",hotel
15526901,44.54264831542969,11.357418060302734,Hotel Corticella,3,"Via Stoppato, 31, Navile,","40128 Bologna, BO, Italia",hotel 3*
80214150,44.49229049682617,11.331950187683104,Frassinago Suites-bolognarooms,3,"47 Via Frassinago, Porto - Saragozza,","40123 Bologna, BO, Italia",hotel 3*
15526896,44.51394271850586,11.348078727722168,Best Western City Hotel,4,"Via Ambrogio Magenta 10, Navile,","40128 Bologna, BO, Italia",hotel 4*
73951969,44.49626159667969,11.368107795715332,Il Villaggio Di Abitabo,0,"Via Sante Vincenzi 45, San Donato - San Vitale,","40138 Bologna, BO, Italia",hotel
15480926,44.50392150878906,11.343954086303713,Nh Bologna De La Gare,4,"Piazza XX Settembre 2, Porto - Saragozza,","40121 Bologna, BO, Italia",hotel 4*
95866814,44.517032623291016,11.402112007141112,Hotel Cosmopolitan Bologna,4,"Via del Commercio Associato, 9, 40127 Bologne, Émilie-Romagne, Italie, San Donato - San Vitale,","Bologna, BO, Italy",hotel 4*
15494875,44.533172607421875,11.370772361755373,Imperial,4,"Via Del Gomito 16, Navile,","40127 Bologna, BO, Italia",hotel 4*
16414657,44.49826431274414,11.343368530273438,Indipendenza Suite,0,"Via Indipendenza, Porto - Saragozza,","40121 Bologna, BO, Italia",hotel
56801684,44.50345230102539,11.33798122406006,Hotel Astoria,3,"Via Fratelli Rosselli 14, Porto - Saragozza,","40121 Bologna, BO, Italia",hotel 3*
1380746,44.498504638671875,11.343128204345703,Hotel Metropolitan,4,"Via dell'Orso 6, Porto - Saragozza,","40121 Bologna, BO, Italia",hotel 4*
15526902,44.517356872558594,11.27650260925293,Jr Hotels Bologna Amadeus,4,"Via Marco Emilio Lepido 39, Borgo Panigale - Reno,","40132 Bologna, BO, Italia",hotel 4*
1833771,44.51361083984375,11.34182357788086,Astor Hotel,3,"Via Aristotile Fioravanti 42/2, Navile,","40129 Bologna, BO, Italia",hotel 3*
89700092,44.49392318725586,11.36401653289795,Hotel Sant'orsola,1,"Via Gianni Palmieri 25, San Donato - San Vitale,","40138 Bologna, BO, Italia",hotel 1*
17453163,44.50455093383789,11.347320556640623,Smy Bologna Centrale,4,"Viale Angelo Masini 4/3, Santo Stefano,","40126 Bologna, BO, Italia",hotel 4*
16714518,44.52532577514648,11.330839157104492,Hotel Marco Polo Self Check-in,3,"Via Marco Polo 89/A, Navile,","40131 Bologna, BO, Italia",hotel 3*
25060893,44.503395080566406,11.33786392211914,Hotel Astoria,3,"Via Fratelli Rosselli 14, Porto - Saragozza,","40121 Bologna, BO, Italia",hotel 3*
15526907,44.4902229309082,11.356762886047363,Hotel Pedrini,3,"Strada Maggiore 79, Santo Stefano,","40125 Bologna, BO, Italia",hotel 3*
15526911,44.53091812133789,11.286236763000488,Flyon Hotel & Conference Center,4,"Via Dell'Aeroporto 34/36, Borgo Panigale - Reno,","40132 Bologna, BO, Italia",hotel 4*
1455034,44.528751373291016,11.366698265075684,Hotel Maxim,3,"Via Stalingrado 152, Navile,","40128 Bologna, BO, Italia",hotel 3*
94350287,44.50163269042969,11.320067405700684,Grand Hotel Elite,4,"Via Aurelio Saffi 36, Porto - Saragozza,","40131 Bologna, BO, Italia",hotel 4*
92434684,44.50163269042969,11.320067405700684,Grand Hotel Elite,4,"36 Via Aurelio Saffi, Porto - Saragozza,","40131 Bologna, BO, Italia",hotel 4*
56855323,44.49590301513672,11.34048557281494,Hotel Palace,3,"Via Monte Grappa, 9/2, Porto - Saragozza,","40121 Bologna, BO, Italia",hotel 3*
1177754,44.501800537109375,11.319899559020996,Hotel ∙ 1 Camera Da Letto ∙ 4 Ospiti,0,"Via Aurelio Saffi 36, Porto - Saragozza,","40131 Bologna, BO, Italia",hotel
95930307,44.48738861083984,11.334179878234863,Central Suite Bed&breakfast,3,"Viale Aldini Antonio 134/2, 40136 Bologne, Émilie-Romagne, Italie, Santo Stefano,","Bologna, BO, Italy",hotel 3*
15526903,44.52718734741211,11.247092247009276,Hotel La Pioppa,3,"Via Marco Emilio Lepido 215, Borgo Panigale - Reno,","40132 Bologna, BO, Italia",hotel 3*
82458076,44.49579620361328,11.35143756866455,Albergo Rossini 1936,4,"Via del Bibiena 13, Santo Stefano,","40122 Bologna, BO, Italia",hotel 4*
85635801,44.49794006347656,11.33634090423584,Suite Lame 37,3,"Bologne, Porto - Saragozza,","40122 Bologna, BO, Italia",hotel 3*
15477892,44.491600036621094,11.418685913085938,Living Place Hotel,4,"Via Properzia de’ Rossi,","40138 Castenaso, BO, Italia",hotel 4*
15496140,44.50809097290039,11.353666305541992,Ac Hotel Bologna By Marriott,4,"Via Sebastiano Serlio 28, Navile,","40128 Bologna, BO, Italia",hotel 4*
15545767,44.4983024597168,11.344734191894531,Hotel Centrale,3,"Vicolo Cattani 7, Santo Stefano,","40126 Bologna, BO, Italia",hotel 3*
91017822,44.51401138305664,11.348082542419434,Best Western City Hotel,4,"Via Ambrogio Magenta 10, Navile,","Bolonia, BO, Italia",hotel 4*
